,raster_val,geometry,areas,points,rws,blocks,vols,heit,lite,undersmpl,mean_diff,mean_diff_positive
520,22445.0,"POLYGON ((106.85800401365944 -6.272754120401512, 106.859030127093 -6.280860448135112, 106.8690450315098 -6.280860448135112, 106.86801882190817 -6.272754120401512, 106.85800401365944 -6.272754120401512))",1000000.0,3.0,2,146,3720794.0,3.5,176.0,0.0,0.02467518634471871,0.06919724545985803
521,17616.0,"POLYGON ((106.86801882190817 -6.272754120401512, 106.8690450315098 -6.280860448135112, 106.87905993592659 -6.280860448135112, 106.87803363015686 -6.272754120401512, 106.86801882190817 -6.272754120401512))",1000000.0,10.0,5,115,3811052.0,3.810810810810811,147.0,1.0,-0.002276982502560297,0.08571890904672042
522,12042.0,"POLYGON ((106.87803363015686 -6.272754120401512, 106.87905993592659 -6.280860448135112, 106.88907484034337 -6.280860448135112, 106.88804843840556 -6.272754120401512, 106.87803363015686 -6.272754120401512))",1000000.0,2.0,3,79,2087935.0,2.6216216216216215,139.0,0.0,-3.828368498099425e-05,0.05697929196167138
523,4925.0,"POLYGON ((106.88804843840556 -6.272754120401512, 106.88907484034337 -6.280860448135112, 106.89908974476013 -6.280860448135112, 106.89806324665426 -6.272754120401512, 106.88804843840556 -6.272754120401512))",1000000.0,0.0,1,41,521586.0,1.75,128.0,0.0,-0.007606555238771205,0.04553050776833659
524,3516.0,"POLYGON ((106.89806324665426 -6.272754120401512, 106.89908974476013 -6.280860448135112, 106.90910464917694 -6.280860448135112, 106.90807805490296 -6.272754120401512, 106.89806324665426 -6.272754120401512))",1000000.0,1.0,1,49,387135.0,1.5,114.0,0.0,-0.0024770284207039223,0.033417333116215385
525,14231.0,"POLYGON ((106.75888108292517 -6.280860448135112, 106.75990758619155 -6.288966824208145, 106.76992258690319 -6.288966824208145, 106.76889598734195 -6.280860448135112, 106.75888108292517 -6.280860448135112))",1000000.0,7.0,4,47,3141326.0,2.816326530612245,203.0,1.0,0.0012973448564051711,0.08986757060803972
526,12830.0,"POLYGON ((106.76889598734195 -6.280860448135112, 106.76992258690319 -6.288966824208145, 106.77993758761485 -6.288966824208145, 106.77891089175873 -6.280860448135112, 106.76889598734195 -6.280860448135112))",1000000.0,20.0,3,167,3676882.0,4.0,205.0,1.0,-0.03187551529836751,0.07515473934326462
527,14493.0,"POLYGON ((106.77891089175873 -6.280860448135112, 106.77993758761485 -6.288966824208145, 106.7899525883265 -6.288966824208145, 106.78892579617552 -6.280860448135112, 106.77891089175873 -6.280860448135112))",1000000.0,11.0,1,99,4560865.0,4.709090909090909,230.0,0.0,-0.05371040546681699,0.07788389053752579
528,15614.0,"POLYGON ((106.78892579617552 -6.280860448135112, 106.7899525883265 -6.288966824208145, 106.79996758903815 -6.288966824208145, 106.7989407005923 -6.280860448135112, 106.78892579617552 -6.280860448135112))",1000000.0,16.0,3,80,5302054.0,6.4222222222222225,247.0,1.0,-0.07005075862216738,0.0819438820544916
529,16431.0,"POLYGON ((106.7989407005923 -6.280860448135112, 106.79996758903815 -6.288966824208145, 106.8099825897498 -6.288966824208145, 106.80895560500909 -6.280860448135112, 106.7989407005923 -6.280860448135112))",1000000.0,30.0,2,75,3716284.0,3.739130434782609,230.5,0.0,-0.0620656018320268,0.07659432648676363
