"Timestamp","Index","binary","design_type"
"2022/12/14 5:40:41 PM GMT+7","103","gapura;symbolic_medium;non_residential_builds;main_street","C21"
"2022/12/14 5:41:13 PM GMT+7","104","non_residential_builds;main_street","C20"
"2022/12/14 5:47:07 PM GMT+7","105","gapura;symbolic_medium;puldur;non_residential_builds;main_street","B"
"2022/12/14 5:54:35 PM GMT+7","107","gapura;symbolic_medium;main_street","C20"
"2022/12/15 3:19:25 PM GMT+7","107","house_CCTV;gapura;symbolic_medium;puldur;non_residential_builds","C20"
"2022/12/15 3:21:38 PM GMT+7","108","non_residential_builds;main_street","C20"
"2022/12/15 3:29:04 PM GMT+7","109","house_high_fence","Rantai"
"2022/12/15 3:31:00 PM GMT+7","110","","C10"
"2022/12/15 3:35:56 PM GMT+7","111","house_high_fence;gardu","A10"
"2022/12/15 3:36:58 PM GMT+7","112","house_high_fence;house_CCTV;gardu;non_residential_builds","A10"
"2022/12/15 3:37:59 PM GMT+7","113","house_high_fence;house_CCTV;non_house_CCTV","C10"
"2022/12/15 3:42:07 PM GMT+7","114","house_CCTV;gardu;symbolic_medium;puldur;non_residential_builds","C10"
"2022/12/15 3:43:46 PM GMT+7","115","house_high_fence;gardu;gapura;symbolic_medium;puldur;main_street","Rantai"
"2022/12/15 3:46:03 PM GMT+7","116","house_high_fence;non_residential_builds;main_street","A10"
"2022/12/15 5:15:13 PM GMT+7","117","house_high_fence;non_house_CCTV","Rantai"
"2022/12/15 5:19:49 PM GMT+7","118","house_high_fence;house_CCTV;non_house_CCTV","A10;A11"
"2022/12/15 5:27:02 PM GMT+7","119","main_street","C21"
"2022/12/15 5:35:10 PM GMT+7","120","house_high_fence;house_CCTV;puldur","C21"
"2022/12/15 5:36:20 PM GMT+7","121","house_high_fence;house_CCTV","C21"
"2022/12/15 5:50:31 PM GMT+7","122","","C20"
"2022/12/15 5:54:12 PM GMT+7","123","house_high_fence;gardu;gapura;symbolic_medium;puldur;main_street","A10"
"2022/12/15 5:54:42 PM GMT+7","124","house_high_fence;gapura;symbolic_medium","C20"
